FBgn0086358 TAB2
FBgn0086655 JING
FBgn0086680 VVL
FBgn0086758 CHINMO
FBgn0086908 EGG
FBgn0087008 E(Y)3
FBgn0250732 GFZF
FBgn0259162 RUNXB
FBgn0259176 BUN
FBgn0259211 GRH
FBgn0259234 CAMTA
FBgn0259246 BRP
FBgn0259785 PZG
FBgn0259789 ZLD
FBgn0259938 CWO
FBgn0260243 E(VAR)3-9
FBgn0260390 CG42516
FBgn0260398 PBP49
FBgn0260632 DL
FBgn0260642 ANTP
FBgn0260741 CG3281
FBgn0260789 MXC
FBgn0260953 CG42585
FBgn0261015 PIF1A
FBgn0261064 RBSN-5
FBgn0261109 MRN
FBgn0261113 XRP1
FBgn0261238 ALH
FBgn0261239 HR39
FBgn0261278 GRP
FBgn0261283 SREBP
FBgn0261434 HKB
FBgn0261456 HPO
FBgn0261477 SLIM
FBgn0261565 LMPT
FBgn0261573 COREST
FBgn0261588 PDM3
FBgn0261617 NEJ
FBgn0261641 CG42724
FBgn0261648 SALM
FBgn0261680 CG42727
FBgn0261703 GCE
FBgn0261705 CG42741
FBgn0261723 DBX
FBgn0261793 TRF2
FBgn0261802 CG42748
FBgn0261850 XPD
FBgn0261885 OSA
FBgn0261930 VND
FBgn0261953 TFAP-2
FBgn0261963 MID
FBgn0262139 TRH
FBgn0262160 CG9932
FBgn0262477 FOXP
FBgn0262519 MI-2
FBgn0262582 CIC
FBgn0262636 DATI
FBgn0262656 MYC
FBgn0262732 MBF1
FBgn0262937 RABEX-5
FBgn0262975 CNC
FBgn0263048 GPDH3
FBgn0263072 CG43347
FBgn0263102 PSQ
FBgn0263108 BTBVII
FBgn0263112 MITF
FBgn0263118 TX
FBgn0263239 DAR1
FBgn0263240 COOP
FBgn0263352 UNR
FBgn0263490 MLD
FBgn0263511 VSX1
FBgn0263512 VSX2
FBgn0263667 LPT
FBgn0263738 ADA2A
FBgn0263740 EIF2GAMMA
FBgn0263745 CR43670
FBgn0263746 CR43671
FBgn0263755 SU(VAR)3-9
FBgn0263757 RPB4
FBgn0263772 CG43689
FBgn0263934 ESN
FBgn0263979 CAF1-55
FBgn0264005 HMX
FBgn0264075 TGO
FBgn0264442 AB
FBgn0264489 CG43897
FBgn0264490 EIP93F
FBgn0264493 RDX
FBgn0264562 HR4
FBgn0264744 CG44002
FBgn0264954 FD3F
FBgn0265182 CG44247
FBgn0265193 ATF-2
FBgn0265276 L(3)NEO38
FBgn0265523 SMR
FBgn0265574 CDC5
FBgn0265598 BX
FBgn0265623 SU(Z)2
